Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s)
12407.00,0.00,0.00,0.02,0.00,0.00,-6.67,0.00,0.00,-1444.46,-0.00,-0.00,0.00,0.00,0.00,0.00
12412.00,0.00,0.00,-0.05,0.00,0.00,-13.97,0.00,0.00,-1460.88,-0.00,-0.00,0.00,0.00,0.00,0.00
12421.00,0.00,0.00,0.02,0.00,0.00,8.09,0.00,0.00,2451.35,-0.00,-0.00,0.00,0.00,0.00,0.00
12429.00,0.00,0.00,-0.04,0.00,0.00,-8.30,0.00,0.00,-2049.11,-0.00,-0.00,0.00,0.00,0.00,0.00
12440.00,0.00,0.00,0.08,0.00,0.00,11.45,0.00,0.00,1795.34,0.00,-0.00,0.00,0.00,-0.00,0.00
12447.00,0.00,0.00,0.05,0.00,0.00,-4.71,0.00,0.00,-2307.28,0.00,-0.00,0.00,0.00,-0.00,-0.00
12453.00,0.00,0.00,0.17,0.00,0.00,19.27,0.00,0.00,3996.01,0.00,-0.00,0.00,-0.00,-0.00,-0.00
12468.00,0.00,0.00,-0.01,0.00,0.00,-11.39,0.00,0.00,-2043.96,0.00,-0.00,0.00,0.00,-0.00,0.00
12474.00,0.00,0.00,-0.03,0.00,0.00,-4.05,0.00,0.00,1222.72,0.00,-0.00,0.00,0.00,-0.00,0.00
12481.00,0.00,0.00,0.04,0.00,0.00,10.23,0.00,0.00,2040.56,0.00,-0.00,0.00,0.00,-0.01,0.00
12489.00,0.00,0.00,0.09,0.00,0.00,5.56,0.00,0.00,-584.22,0.00,-0.00,0.00,0.00,0.00,-0.00
12494.00,0.00,0.00,0.06,0.00,0.00,-4.92,0.00,0.00,-2095.03,0.00,-0.00,0.00,0.00,-0.00,-0.00
12502.00,0.00,0.00,0.06,0.00,0.00,0.04,0.00,0.00,619.44,0.00,-0.00,0.00,0.00,-0.00,-0.00
12507.00,0.00,0.00,0.04,0.00,0.00,-3.53,0.00,0.00,-712.93,0.00,-0.00,0.00,0.00,-0.00,0.00
12518.00,0.00,0.00,-0.01,0.00,0.00,-5.07,0.00,0.00,-140.20,0.00,-0.00,0.00,0.00,-0.00,0.00
12524.00,0.00,0.00,0.08,0.00,0.00,14.52,0.00,0.00,3264.26,0.00,-0.00,0.00,0.00,0.00,0.00
12531.00,0.00,0.00,0.10,0.00,0.00,2.92,0.00,0.00,-1657.01,0.00,-0.00,0.00,-0.00,0.00,0.00
12540.00,0.00,0.00,0.07,0.00,0.00,-3.09,0.00,0.00,-667.79,0.00,-0.00,0.00,0.00,0.00,0.00
12546.00,0.00,0.00,-0.03,0.00,0.00,-16.24,0.00,0.00,-2191.54,0.00,-0.00,0.00,0.00,0.00,0.00
12562.00,0.00,0.00,0.03,0.00,0.00,3.94,0.00,0.00,1261.62,0.00,-0.00,0.00,-0.00,-0.00,0.00
12571.00,0.00,0.00,0.05,0.00,0.00,1.94,0.00,0.00,-223.29,0.00,-0.00,0.00,0.00,-0.00,-0.00
12579.00,0.00,0.00,0.04,0.00,0.00,-1.18,0.00,0.00,-389.02,0.00,-0.00,0.00,0.00,0.00,0.00
12585.00,0.00,0.00,-0.01,0.00,0.00,-8.65,0.00,0.00,-1246.16,0.00,-0.00,0.00,0.00,0.00,0.00
12592.00,0.00,0.00,0.03,0.00,0.00,6.29,0.00,0.00,2135.12,0.00,-0.00,0.00,0.00,0.00,0.00
12605.00,0.00,0.00,0.01,0.00,0.00,-1.58,0.00,0.00,-605.81,0.00,-0.00,0.00,-0.00,0.00,0.00
12613.00,0.00,0.00,0.05,0.00,0.00,4.32,0.00,0.00,738.16,0.00,-0.00,0.00,-0.00,-0.00,-0.00
12621.00,0.00,0.00,0.01,0.00,0.00,-4.66,0.00,0.00,-1122.73,0.00,-0.00,0.00,0.00,0.00,-0.00
